LIST SIZE;TIME TAKEN;STDEV
10000;1.3E-6s;7.794885084908E8
10000;1.5E-6s;7.800429421611999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;1.3E-6s;7.794885084908E8
10000;1.1E-6s;7.790140428299999E8
10000;3.6E-6s;7.906925642799999E8
10000;1.0E-6s;7.788067980031999E8
10000;3.9E-6s;7.929336509548E8
10000;1.2E-6s;7.792412796592001E8
10000;1.3E-6s;7.794885084908E8
10000;9.0E-7s;7.786195451788E8
10000;1.4E-6s;7.797557293248E8
10000;2.1E-6s;7.8218605123E8
10000;1.4E-6s;7.797557293248E8
10000;3.6E-6s;7.906925642799999E8
10000;1.1E-6s;7.790140428299999E8
10000;1.3E-6s;7.794885084908E8
10000;1.5E-6s;7.800429421611999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.1E-6s;7.790140428299999E8
10000;1.3E-6s;7.794885084908E8
10000;1.5E-6s;7.800429421611999E8
10000;1.1E-6s;7.790140428299999E8
10000;3.8E-6s;7.921666300608001E8
10000;1.1E-6s;7.790140428299999E8
10000;1.4E-6s;7.797557293248E8
10000;1.3E-6s;7.794885084908E8
10000;1.2E-6s;7.792412796592001E8
10000;1.4E-6s;7.797557293248E8
10000;1.4E-6s;7.797557293248E8
10000;1.2E-6s;7.792412796592001E8
10000;1.9E-6s;7.813917135308E8
10000;1.9E-6s;7.813917135308E8
10000;1.7E-6s;7.806773438412E8
10000;3.2E-6s;7.879843367471999E8
10000;1.1E-6s;7.790140428299999E8
10000;1.5E-6s;7.800429421611999E8
10000;1.1E-6s;7.790140428299999E8
10000;1.7E-6s;7.806773438412E8
10000;1.6E-6s;7.80350147E8
10000;1.3E-6s;7.794885084908E8
10000;1.2E-6s;7.792412796592001E8
10000;1.5E-6s;7.800429421611999E8
10000;3.2E-6s;7.879843367471999E8
